[ 2025-07-18 14:10:44,744 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-07-18 14:10:45,266 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-07-18 14:10:45,676 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-18 14:10:45,685 ] 107 dagshub - INFO - Accessing as sanjaypal1916
[ 2025-07-18 14:10:46,134 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/sanjaypal1916/NetworkSecurity "HTTP/1.1 200 OK"
[ 2025-07-18 14:10:46,822 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-07-18 14:10:46,826 ] 107 dagshub - INFO - Initialized MLflow to track repo "sanjaypal1916/NetworkSecurity"
[ 2025-07-18 14:10:46,828 ] 107 dagshub - INFO - Repository sanjaypal1916/NetworkSecurity initialized!
[ 2025-07-18 14:10:46,829 ] 27 root - INFO - Initiate the data ingestion
[ 2025-07-18 14:10:54,322 ] 51 root - INFO - fetching the information from the database
[ 2025-07-18 14:10:54,721 ] 65 root - INFO - Exported to Feature store directory
[ 2025-07-18 14:10:54,721 ] 74 root - INFO - initiating Data Ingestion
[ 2025-07-18 14:10:54,722 ] 81 root - INFO - creating directory for train and test
[ 2025-07-18 14:10:54,723 ] 85 root - INFO - spliting the data into train and test
[ 2025-07-18 14:10:54,738 ] 88 root - INFO - loading the data to train.csv and test.csv
[ 2025-07-18 14:10:55,151 ] 92 root - INFO - completion of ingested directory
[ 2025-07-18 14:10:55,152 ] 29 root - INFO - Data Initiation Completed
[ 2025-07-18 14:10:55,178 ] 40 root - INFO - Initiate the data Validation
[ 2025-07-18 14:10:56,159 ] 42 root - INFO - data Validation Completed
